Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
44074800,The Southern Book Club's Guide to Slaying Vampires,Grady Hendrix,"Hendrix, Grady",,"=""""","=""""",4,3.79,Quirk Books,Kindle Edition,410,2020,2020,2022/02/27,2022/02/27,,,read,Maybe a 4.5 . Just an overall crazy book idk what to say ,,,1,0
52439531,"The Inheritance Games (The Inheritance Games, #1)",Jennifer Lynn Barnes,"Barnes, Jennifer Lynn",,"=""1368052401""","=""9781368052405""",4,4.12,"Little, Brown Books for Young Readers",Hardcover,386,2020,2020,2022/02/21,2022/02/21,,,read,It was so engaging and I liked how stuff was revealed throughout the story instead of all at the end but parts of it were low key strange ,,,1,0
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326361""","=""9780765326362""",5,4.76,Tor Books,Hardcover,1088,2014,2014,2022/02/11,2022/02/11,,,read,Some of the dialogue and humour was so mid but it still went crazy ,,,1,0
37969723,"The Silence of the Girls (Women of Troy, #1)",Pat Barker,"Barker, Pat",,"=""""","=""""",4,3.89,Doubleday Books,Hardcover,325,2018,2018,2022/01/12,2022/01/12,,,read,Was interesting to see a different side of well known mythology. Pretty brutal to read some of those things tho.,,,1,0
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",5,4.66,Tor Books,Hardcover,1007,2010,2010,2022/01/23,2022/01/23,,,read,a 4.5 it has some weak dialogue in places and gets boring in others but the last 1/4 of the book is truly exceptional and makes up for all of the issues ,,,2,0
69571,"Rich Dad, Poor Dad",Robert T. Kiyosaki,"Kiyosaki, Robert T.",,"=""0751532711""","=""9780751532715""",2,4.09,Time Warner Books UK,Paperback,195,2001,1997,2022/01/23,2022/01/23,,,read,So mid I can’t believe everyone recommends this so much. Seems to blame a lot of people for their conditions and advocates for rich people not paying any taxes because they’re too smart ,,,1,0
1662160,Your Inner Fish: a Journey into the 3.5-Billion-Year History of the Human Body,Neil Shubin,"Shubin, Neil",,"=""0375424474""","=""9780375424472""",3,4.04,Pantheon,Hardcover,229,2008,2008,2022/01/05,2022/01/10,,,read,3.5 maybe? it was interesting at first but got slightly repetitive by the end glad I read it at least ,,,1,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""9780385534635""",0,4.00,Doubleday,Hardcover,506,2011,2011,,2021/09/28,,,read,,,,1,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",3,4.31,Tor,Mass Market Paperback,324,2004,1985,,2021/09/17,,,read,This book clearly ain’t age that well. Bro was using slurs way too casually for a grown ass man. The plot was semi interesting but why were they so young????  There’s no reason why a 10 year old would threaten to kill his 6 year old brother. And there’s no reason for 6 year olds to try and end each other’s lives either. Pretty wack but could be worse ,,,1,0
36329818,"Legendary (Caraval, #2)",Stephanie Garber,"Garber, Stephanie",,"=""125009531X""","=""9781250095312""",5,4.10,Flatiron Books,Hardcover,451,2018,2018,,2018/06/11,,,read,,,,1,0
